Time,transforms
1647137341.0208077,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  20325327
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006805858574807644
    y: -0.006172269117087126
    z: 0.02088138647377491
  rotation: 
    x: 0.006068822931681977
    y: -0.00926327705979956
    z: 0.04715601357874775
    w: 0.9988261467691453]"
1647137341.028086,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  27691465
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006802160292863846
    y: -0.00617611687630415
    z: 0.020879998803138733
  rotation: 
    x: 0.006007843252881647
    y: -0.00937321327007747
    z: 0.04716586002185518
    w: 0.9988250248871627]"
1647137341.0483322,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  47934138
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006815284490585327
    y: -0.00618529599159956
    z: 0.020890552550554276
  rotation: 
    x: 0.005936822701198888
    y: -0.009176208401505941
    z: 0.04711210233920078
    w: 0.9988298159089802]"
1647137341.048851,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  48506492
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006809967570006847
    y: -0.006186776328831911
    z: 0.020881475880742073
  rotation: 
    x: 0.006003975527848414
    y: -0.009142876793493165
    z: 0.04717349359482107
    w: 0.9988268226193464]"
1647137341.0493178,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  49016726
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006797220557928085
    y: -0.00617544911801815
    z: 0.02086743526160717
  rotation: 
    x: 0.005950838224077123
    y: -0.009360263892898702
    z: 0.047148491368572326
    w: 0.9988263075960473]"
1647137341.0601952,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  59695187
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006791162770241499
    y: -0.006168882828205824
    z: 0.020875368267297745
  rotation: 
    x: 0.006012555703448475
    y: -0.009217461610963554
    z: 0.047156971151938135
    w: 0.9988268657015282]"
1647137341.061921,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  61524203
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.0067954291589558125
    y: -0.006174422334879637
    z: 0.020873986184597015
  rotation: 
    x: 0.0060825585530767294
    y: -0.009255423232338912
    z: 0.04711785923600375
    w: 0.9988279366153386]"
1647137341.0687404,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  68343869
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006793611217290163
    y: -0.006164303049445152
    z: 0.020872538909316063
  rotation: 
    x: 0.006050420321183648
    y: -0.009286878418430192
    z: 0.04716685679126177
    w: 0.9988255272687072]"
1647137341.0744157,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  73910942
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006791590712964535
    y: -0.006181608885526657
    z: 0.020876571536064148
  rotation: 
    x: 0.006004746106660723
    y: -0.009344026500287117
    z: 0.04716206369209347
    w: 0.9988254962410898]"
1647137341.0809755,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  80513760
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006796814035624266
    y: -0.00617727916687727
    z: 0.020877426490187645
  rotation: 
    x: 0.006022708177462455
    y: -0.009299291533464309
    z: 0.04716946304176212
    w: 0.9988254561831794]"
1647137341.0940897,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  93609451
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.00680841039866209
    y: -0.0061937314458191395
    z: 0.02088523656129837
  rotation: 
    x: 0.005984529027181966
    y: -0.009231692342993028
    z: 0.04712842488032297
    w: 0.9988282499194278]"
1647137341.0964925,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs:  96131481
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006798067595809698
    y: -0.006183590739965439
    z: 0.020881736651062965
  rotation: 
    x: 0.005992506045871262
    y: -0.00926559120614572
    z: 0.04713797475521236
    w: 0.9988274375620985]"
1647137341.1006975,"[header: 
  seq: 0
  stamp: 
    secs: 1647137341
    nsecs: 100300251
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006791762541979551
    y: -0.006186087150126696
    z: 0.020881284028291702
  rotation: 
    x: 0.006057026410193614
    y: -0.009219801174891915
    z: 0.04718092891158206
    w: 0.9988254440313392]"
